nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,data_nascimento,quant_viagem,salario_bruto,gasto_total_par,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab
JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,H,75.0,10.0,7.0,9.0,4.0,22.0,21/06/1978,0,33763.0,356842.77,1089445.65,38999.73,33224.73,52793.19,47568.26,57184.71,29897.6,36352.08,15418.42,9981.12,34877.93,545.0,111077.16,111077.16,107757.43,108634.49,107404.64,103768.48,108159.53,108272.04,111647.36,111647.36,0
SIDNEY RICARDO DE OLIVEIRA LEITE,H,84.0,0.0,8.0,59.0,0.0,7.0,08/04/1967,0,33763.0,275944.45,1106747.78,8648.68,35886.24,88152.88,30161.65,54238.48,27619.45,17293.5,2933.41,2.45,10801.0,206.71,111580.83,110906.22,107595.38,111325.25,111241.15,111562.02,111659.67,111659.67,111591.32,107626.27,0
GILSON CARDOSO FAHUR,H,92.0,0.0,0.0,27.0,0.0,2.0,06/11/1963,0,33763.0,235330.0,703510.23,26338.65,13404.82,31325.22,52086.32,24388.06,22309.23,29172.8,14543.32,12015.5,7356.54,2389.54,66705.81,69549.81,73341.81,73341.81,73341.81,73341.81,73341.81,67133.94,66705.81,66705.81,0
SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,H,61.0,31.0,0.0,2.0,10.0,9.0,31/08/1968,0,33763.0,368210.84,1105562.32,32611.71,61997.85,45761.75,50783.9,40852.42,33153.1,37014.05,32841.73,22279.93,10154.47,759.93,111550.4,111550.4,111151.62,108271.62,111550.4,111283.71,107107.52,111550.44,111475.23,110070.98,0
SÉRGIO LUÍS LACERDA BRITO,H,69.0,10.0,13.0,6.0,4.0,20.0,08/06/1961,0,33763.0,350373.14,1114170.62,45663.6,42654.52,52570.85,42077.69,38621.82,34830.22,44740.63,15255.91,11831.58,20879.61,1246.71,111512.47,111637.96,111607.2,111538.25,111538.25,111179.96,111280.54,111378.74,111647.19,110850.06,0
SILAS CÂMARA,H,68.0,16.0,8.0,14.0,16.0,19.0,15/12/1962,0,33763.0,372291.46,1074101.37,53511.75,30068.31,89746.79,49917.31,26361.91,26004.72,3334.78,49845.67,36031.91,7468.31,0.0,110677.96,110638.64,109858.49,104374.6,104374.6,105000.6,106461.25,107232.58,107789.66,107692.99,0
SERGIO DE SOUZA,H,84.0,4.0,4.0,20.0,0.0,0.0,13/03/1971,1,33763.0,358410.7,1083098.44,44666.86,38116.97,56387.62,38979.42,54101.56,36334.73,28323.07,27848.37,7279.42,25087.44,1285.24,103465.18,111598.82,111598.82,108459.16,95170.25,107026.01,111202.02,111526.06,111526.06,111526.06,0
SEVERINO DE LIRA PESSÔA,H,79.0,6.0,7.0,13.0,2.0,16.0,06/02/1970,0,33763.0,349305.31,1087308.07,56448.73,40975.67,38983.26,51480.91,46528.02,20039.0,12962.54,10449.32,2.3,71435.56,0.0,107456.07,107456.07,110847.44,108039.99,109624.62,110681.41,110195.41,109900.71,111249.56,101856.79,0
SERGIO TOLEDO DE ALBUQUERQUE,H,47.0,44.0,1.0,1.0,20.0,1.0,29/01/1962,0,33763.0,288222.22,1115988.9,30247.71,39363.12,39439.74,40960.33,29762.44,19142.21,17310.55,25965.33,22299.28,23731.51,0.0,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,0
SILVIO SERAFIM COSTA FILHO,H,80.0,6.0,6.0,31.0,2.0,6.0,05/03/1982,0,33763.0,395483.24,1114520.69,30879.38,35595.55,50370.63,44280.75,48544.47,36480.91,35984.13,48988.28,27163.19,37195.95,0.0,111550.59,111550.59,111327.92,111550.59,110788.05,111550.59,111550.59,111550.59,111550.59,111550.59,0
FRANCISCO TADEU BARBOSA DE ALENCAR,H,82.0,9.0,1.0,43.0,15.0,39.0,08/04/1963,0,33763.0,378169.9,913256.03,33136.04,35605.24,47035.48,52313.5,53943.06,36506.38,38165.37,29185.97,35584.92,15975.43,718.51,82100.84,82100.84,82100.84,82100.84,83823.55,94672.9,99931.87,102657.96,102657.96,101108.43,0
SOSTENES SILVA CAVALCANTE,H,90.0,1.0,1.0,22.0,3.0,50.0,16/01/1975,0,33763.0,301292.61,1110795.89,34347.99,36686.76,37385.24,34187.85,42574.72,33422.21,27180.57,16640.69,10097.79,28100.9,667.89,111471.63,111471.65,110392.32,109919.18,110901.44,110898.63,111435.26,111435.26,111435.26,111435.26,0
LUIZ GONZAGA RIBEIRO,H,86.0,3.0,3.0,95.0,2.0,15.0,31/05/1962,0,33763.0,322779.46,1107163.31,22268.14,23651.34,37183.66,43427.86,54538.56,30205.1,35399.21,27745.12,24901.42,22874.33,584.72,111544.49,111544.49,111535.88,111461.97,110137.2,109363.2,110137.2,110137.2,110137.2,111164.48,0
STEFANO AGUIAR DOS SANTOS,H,75.0,10.0,7.0,7.0,7.0,9.0,03/03/1976,0,33763.0,285738.03,1105220.16,32277.66,34395.67,41449.67,37761.02,36140.38,32186.87,29189.44,19927.58,17465.41,4443.71,500.62,111507.96,111507.96,111507.96,111507.96,111507.96,109724.62,109724.62,109724.62,109724.62,108781.88,0
CARLOS TITO MARQUES CORDEIRO,H,92.0,0.0,0.0,27.0,0.0,7.0,17/11/1976,0,33763.0,278641.02,1115576.55,30501.3,31777.19,27564.37,31159.96,81946.39,12029.6,20240.56,18796.03,10779.49,12788.08,1058.05,111587.05,111587.05,111587.05,111564.01,111498.03,111550.67,111550.67,111550.67,111550.67,111550.68,0
Tiago Dimas Braga Pereira,H,89.0,0.0,3.0,9.0,0.0,1.0,04/08/1988,0,33763.0,339544.34,1093177.33,25207.06,42885.58,64235.29,54312.34,20107.35,27029.27,25908.66,11604.28,48026.14,14528.62,5699.75,111006.97,109190.74,109190.74,109190.74,108805.07,110517.32,111287.52,109789.26,103714.49,110484.48,0
FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,H,69.0,21.0,2.0,4.0,8.0,8.0,01/05/1965,0,33763.0,193770.82,1094487.9,10744.18,20999.68,20819.91,22736.94,28371.73,25748.36,27555.21,15056.32,13606.42,8132.07,0.0,111143.93,111143.93,111048.44,111598.88,111598.88,111598.88,111598.88,105364.04,104696.02,104696.02,0
TIAGO LIMA MITRAUD DE CASTRO LEITE,H,92.0,0.0,0.0,107.0,0.0,7.0,15/08/1986,0,33763.0,27647.47,408211.46,3566.57,3135.34,2309.4,2560.68,8067.83,4398.55,2855.86,216.89,191.77,344.58,0.0,34798.86,31959.96,43996.79,52593.1,55384.47,56148.88,53361.59,43944.69,14691.41,21331.71,0
ANTONIO WANDSCHEER,H,81.0,4.0,7.0,3.0,0.0,2.0,31/08/1950,0,33763.0,306818.62,1090237.69,41777.79,39307.55,48754.02,48076.79,33128.88,24222.67,17864.61,13310.97,5376.98,34422.79,575.57,111665.71,111665.71,111665.71,111665.71,106352.43,103305.77,105808.24,109253.63,109427.39,109427.39,0
TÚLIO GADÊLHA SALES DE MELO,H,84.0,8.0,0.0,53.0,16.0,61.0,12/11/1987,0,33763.0,384141.87,1104734.62,22201.56,33060.63,55862.54,51086.03,59826.44,34741.72,31903.99,31005.22,24904.26,33878.06,5671.42,111435.4,110985.67,111288.65,110232.48,111665.84,110955.1,108096.17,108686.96,111593.09,109795.26,0
ULDURICO ALENCAR PINTO,H,77.0,10.0,5.0,5.0,6.0,12.0,30/01/1992,0,33763.0,401869.8,1096172.61,5676.51,39129.5,29853.85,79759.43,19410.55,25244.16,35620.95,73478.81,37352.03,10205.83,46138.18,109183.02,109663.55,110707.3,109378.89,108692.27,109378.89,109378.89,109378.89,110140.36,110270.55,0
FRANCISCO VAIDON OLIVEIRA,H,54.0,4.0,3.0,3.0,2.0,8.0,02/04/1975,0,33763.0,218995.33,1095274.98,23778.48,42615.45,43405.02,40762.03,60084.33,222.0,0,0,0,7500.0,628.02,111635.46,110860.77,111028.88,109585.62,105419.03,105124.91,111562.77,111562.77,111562.77,106932.0,0
VALMIR CARLOS DA ASSUNÇÃO,H,83.0,7.0,2.0,13.0,2.0,9.0,17/12/1964,0,33763.0,363239.05,1102047.27,44395.14,46537.39,44131.6,48258.75,36050.94,38814.68,34071.61,34806.12,17856.95,18203.94,111.93,111617.19,111617.19,111476.5,111617.19,111617.19,110585.18,104425.66,106305.67,111392.75,111392.75,0
VANDER LUIZ DOS SANTOS LOUBET,H,87.0,3.0,2.0,13.0,1.0,9.0,22/01/1964,0,33763.0,319765.6,1102777.75,49425.1,33639.23,37451.17,39976.96,41545.38,38451.69,27215.78,9051.5,4483.21,37732.84,792.74,107579.85,107298.47,107298.47,110642.16,111659.8,111659.8,111659.8,111659.8,111659.8,111659.8,0
VANDERLEI MACRIS,H,83.0,4.0,5.0,24.0,5.0,10.0,20/05/1950,0,33763.0,387872.53,1100112.8,58359.31,41010.69,35983.56,33429.65,34362.74,43973.37,39405.44,37712.64,27149.77,36103.24,382.12,109269.77,108453.91,111586.33,111659.71,111659.71,111659.71,107850.57,109854.64,109269.77,108848.68,0
WAGNER BACH MARTINS,H,82.0,2.0,8.0,16.0,6.0,10.0,03/06/1982,0,33763.0,297239.55,1110283.01,13175.53,18160.99,85161.64,31772.02,23536.01,37453.18,15004.74,9785.52,3587.11,59602.81,0.0,111032.85,108426.5,110051.36,111574.66,111574.66,111324.34,111574.66,111574.66,111574.66,111574.66,0
NELSI COGUETTO MARIA,H,85.0,3.0,4.0,16.0,0.0,3.0,01/03/1959,0,33763.0,357623.22,1097570.35,40396.46,36014.91,46849.79,40603.35,52721.83,37782.35,27881.3,18738.35,27472.39,27447.81,1714.68,110519.15,108830.28,109428.11,104631.08,109592.25,110331.11,110331.11,110588.22,111659.52,111659.52,0
VINICIUS LAZZER POIT,H,86.0,5.0,1.0,25.0,4.0,4.0,31/01/1986,0,33763.0,189090.62,653485.14,18431.82,19119.82,20091.36,22529.2,18953.4,13634.91,18453.31,20492.33,19267.75,18116.72,0.0,68524.6,67693.7,68191.96,63479.21,70848.78,70848.78,70848.78,56804.65,51380.32,64864.36,0
VICENTE PAULO DA SILVA,H,83.0,7.0,2.0,19.0,2.0,14.0,08/04/1956,0,33763.0,302994.99,1115080.2,13501.99,33730.27,71585.86,35951.02,45465.67,34562.44,36569.02,17307.06,5656.42,8665.24,0.0,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,0
VITOR LIPPI,H,89.0,0.0,3.0,31.0,0.0,12.0,18/05/1959,0,33763.0,319291.0,1029677.8,24887.33,32569.74,36922.21,49406.16,47864.03,26402.16,27593.94,26251.12,26683.06,20513.25,198.0,101487.37,101487.37,102816.16,107061.86,107511.9,107668.44,100367.15,100425.85,100425.85,100425.85,0
WALTER PEREIRA ALVES,H,77.0,8.0,7.0,9.0,4.0,8.0,27/02/1980,0,33763.0,317763.78,1110706.61,16275.45,52068.25,43693.12,58063.77,58625.31,36037.87,19606.3,21869.88,3500.01,7812.68,211.14,109243.61,110758.36,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,0
VICENTE ALVES DE OLIVEIRA JUNIOR,H,69.0,0.0,23.0,15.0,0.0,23.0,11/04/1985,0,33763.0,407540.1,1070076.38,37276.44,39572.89,42368.97,39808.6,30327.75,41871.0,42317.27,33618.36,50378.82,50000.0,0.0,111477.7,110881.51,111497.27,111034.88,111354.02,111014.26,108081.62,98361.27,100031.52,96342.33,0
VINICIUS MEDEIROS FARAH,H,47.0,3.0,18.0,12.0,5.0,29.0,21/06/1965,0,33763.0,204118.87,685910.01,0,0,0,8158.18,63507.53,16857.35,26990.19,4635.32,3.53,83285.68,681.09,0.0,0.0,0.0,55157.49,80703.13,106463.12,111562.45,109355.91,111374.46,111293.45,0
VILSON LUIZ DA SILVA,H,88.0,3.0,1.0,59.0,2.0,3.0,01/05/1957,0,33763.0,248699.02,1038806.07,13864.38,12202.47,12981.84,35640.68,38383.43,48646.12,35184.8,19061.99,16192.22,11829.03,4712.06,100801.9,100801.9,99965.01,103710.64,110925.72,105055.83,105194.9,109355.65,108535.78,94458.74,0
VINICIUS RAPOZO DE CARVALHO,H,79.0,13.0,0.0,9.0,5.0,10.0,07/01/1966,1,33763.0,340688.73,1063351.76,41672.56,39581.43,57042.94,42691.74,36753.2,39290.07,35365.86,18744.31,15224.99,13918.24,403.39,103616.36,103616.36,103616.36,103616.36,104709.37,105399.7,107051.56,110786.16,110786.16,110153.37,0
WALDENOR ALVES PEREIRA FILHO,H,84.0,8.0,0.0,32.0,2.0,18.0,08/03/1954,0,33763.0,274803.54,1107206.78,28566.62,43501.52,49047.12,41518.06,42594.78,26126.51,17743.64,6816.73,7094.89,11213.89,579.78,111659.64,111659.64,111659.64,110105.78,110466.03,110331.21,110331.21,110331.21,110331.21,110331.21,0
JOSÉ WELLINGTON ROBERTO,H,64.0,27.0,1.0,0.0,10.0,16.0,19/05/1959,0,33763.0,363026.31,1108253.01,25689.37,50571.5,45460.46,46200.51,47674.96,32937.83,37926.77,12640.71,33901.72,30022.48,0.0,111507.89,111507.89,110523.07,107146.56,110382.39,111153.65,111507.89,111507.89,111507.89,111507.89,0
WELITON FERNANDES PRADO,H,90.0,2.0,0.0,96.0,8.0,23.0,24/08/1975,0,33763.0,215735.14,1100802.77,45629.83,47215.79,38327.43,43865.45,23458.59,9586.59,1947.66,5313.92,389.88,0.0,0.0,103167.75,108917.52,111253.88,110595.57,111288.73,111345.91,110034.83,111544.46,111082.65,111571.47,0
