nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,data_nascimento,quant_viagem,salario_bruto,gasto_total_par,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,M,64.0,21.0,7.0,3.0,5.0,5.0,12/04/1984,0,33763.0,279644.77,1069269.96,13902.07,25170.41,93784.61,29683.86,54406.01,14216.62,21165.2,10306.43,9508.71,7182.99,317.86,108653.71,111429.12,111429.12,109087.1,107972.58,111617.16,110853.68,111354.04,98888.69,87984.76,0
MARINA SANTOS BATISTA DIAS,M,90.0,2.0,0.0,6.0,1.0,12.0,13/09/1980,0,33763.0,357095.02,1114463.33,23811.47,41587.12,38764.57,41760.61,35827.39,43099.71,38934.07,25951.64,26865.0,39929.24,564.2,111495.88,111495.88,111311.17,111495.87,111185.14,111495.87,111495.88,111495.88,111495.88,111495.88,0
PATRICIA LIMA FERRAZ,M,10.0,0.0,0.0,0.0,0.0,0.0,09/01/1980,0,33763.0,61259.97,0.0,0,0,0,0,0,0,0,0,7370.23,52876.43,1013.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAULA MORENO PARO BELMONTE,M,87.0,2.0,3.0,62.0,6.0,27.0,23/06/1973,0,33763.0,0,1035760.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105453.3,105634.73,105767.33,110422.17,109556.14,107546.98,94842.01,90556.61,98626.57,107354.42,0
NORMA AYUB ALVES,M,77.0,14.0,1.0,20.0,8.0,5.0,07/09/1959,0,33763.0,282558.92,1086780.1,19354.87,22480.29,25213.93,34202.81,34648.47,33963.01,31584.22,23186.05,21829.52,33181.5,2914.25,109263.62,109263.62,109371.25,108682.13,108282.54,109497.38,106962.54,107480.28,107282.54,110694.2,0
MARIA PERPÉTUA DE ALMEIDA,M,86.0,4.0,2.0,56.0,8.0,27.0,28/12/1964,1,33763.0,397294.72,1103492.51,40876.75,38531.07,65864.03,66620.97,53571.92,37080.29,43254.26,14245.86,16783.06,19979.66,486.85,111465.58,106860.33,104769.12,111544.45,111544.45,111544.45,111499.84,111405.91,111429.19,111429.19,0
KATIA DA SILVA SASTRE,M,91.0,0.0,1.0,38.0,0.0,19.0,04/04/1976,0,33763.0,373876.63,1056090.36,34893.09,34694.24,64166.28,35385.2,36339.7,38923.8,34961.86,43018.05,29335.74,22064.62,94.05,107322.54,104138.84,105140.2,105895.02,105351.11,96070.39,98655.82,111265.29,111265.29,110985.86,0
NATÁLIA BASTOS BONAVIDES,M,86.0,6.0,0.0,16.0,4.0,15.0,15/06/1988,0,33763.0,339385.8,1028961.46,31946.09,31413.95,72688.49,54961.85,61905.75,41735.22,31051.52,7935.3,2706.85,2967.78,73.0,106600.62,90902.3,96132.21,102664.33,98979.97,99242.75,104019.87,107795.14,111410.75,111213.52,0
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,M,67.0,17.0,8.0,24.0,13.0,16.0,30/01/1986,0,33763.0,221802.92,1091268.51,24757.35,14536.29,33354.13,32630.75,38636.18,25835.19,21096.42,20196.27,4322.45,6205.76,232.13,103819.39,108270.5,109719.5,110069.34,110134.52,109472.23,110404.13,110404.13,110398.05,108576.72,0
MARIA AUXILIADORA SEABRA REZENDE,M,71.0,0.0,3.0,69.0,3.0,41.0,01/10/1964,0,33763.0,244204.17,1033855.08,20187.34,51058.21,42305.79,52041.49,47722.61,22610.88,8277.85,0,0,0,0.0,97131.95,97131.95,102063.65,104981.11,97310.99,99796.88,102973.35,109375.33,111544.35,111545.52,0
REJANE RIBEIRO SOUSA DIAS,M,90.0,0.0,2.0,65.0,0.0,33.0,04/09/1972,0,33763.0,241602.52,1022389.38,16913.54,23065.31,34072.61,41316.06,35393.2,27658.11,30276.4,10634.6,10120.33,11597.34,555.02,94123.29,94123.29,94123.29,96640.01,103386.0,97900.48,110730.33,111077.25,111077.25,109208.19,0
ROSA NEIDE SANDES DE ALMEIDA,M,88.0,3.0,1.0,40.0,4.0,5.0,08/08/1963,1,33763.0,360348.67,1099986.55,35689.04,50953.17,65702.41,36747.44,42534.13,32039.17,23335.58,18867.29,10899.48,23046.77,20534.19,111574.65,110892.89,108386.56,109037.91,110196.13,109389.74,109971.9,109688.57,109645.72,111202.48,0
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,M,91.0,0.0,1.0,34.0,0.0,7.0,21/06/1973,0,33763.0,372618.22,1113310.62,73518.31,24414.79,47486.37,49562.35,28947.17,39390.78,27825.99,17636.42,7350.58,50485.46,6000.0,111465.49,111400.5,110738.38,111378.13,111439.63,111111.26,111351.62,111476.44,111465.5,111483.67,0
ELCIONE THEREZINHA ZAHLUTH BARBALHO,M,74.0,8.0,10.0,11.0,3.0,15.0,05/10/1944,0,33763.0,324749.25,1090868.22,18282.77,21903.47,42172.9,54698.46,50424.42,44680.57,25428.51,30182.96,15955.03,18147.74,2872.42,109942.97,108266.63,106606.75,106963.42,110173.43,110012.89,110173.43,111342.81,111617.17,105768.72,0
ELIZA VIRGINIA DE SOUZA FERNANDES,M,16.0,0.0,1.0,8.0,0.0,3.0,02/04/1972,0,33763.0,134550.51,0.0,0,0,0,0,0,0,5603.62,34615.41,16715.86,59255.5,18360.12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
ÉRIKA JUCÁ KOKAY,M,90.0,1.0,1.0,132.0,1.0,16.0,15/08/1957,0,33763.0,219455.01,1104968.28,21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,250.02,106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.2,109666.7,111532.23,111473.53,0
FLÁVIA CAROLINA PÉRES,M,60.0,5.0,4.0,0.0,1.0,3.0,21/01/1980,0,33763.0,97678.83,584981.55,0,0,0.0,6864.73,10563.71,18634.34,15284.18,16185.53,14441.81,15704.53,0.0,0.0,0.0,1906.24,70338.95,79195.45,81408.68,85648.32,88827.97,88827.97,88827.97,0
